,ID,Lat,Long,ListPrice,SaleYear,Bathroom,Bedroom,BuiltYear,BuildDecade,MajorRenov,FinishSqFt,LotSqFt,MSA,City,HighSchool,SalePrice
52,3255388,42.124928,-88.026337,349900,2014,2.5,4,1969,1960,NONE,2486,12240,Chicago,Palatine,Palatine High School,339100.284328
53,3250423,42.141736,-88.02903,229000,2014,2,3,1960,1960,NONE,1344,15472.04295,Chicago,Palatine,Palatine High School,219362.06298
54,3264407,42.099527,-88.119364,330000,2013,2.5,4,1978,1970,NONE,2083,10890,Chicago,Hoffman Estates,Wm Fremd High School,322417.436906
55,3266581,42.103516,-88.059303,299999,2014,2,4,1953,1950,NONE,1488,15472.04295,Chicago,Palatine,Wm Fremd High School,291787.077194
56,3266729,42.108308,-88.053061,485900,2013,4,5,1977,1970,NONE,3048,10890,Chicago,Palatine,Wm Fremd High School,468370.589175
57,3269389,42.104701,-88.019828,124900,2014,2,2,1980,1980,NONE,1150,6294,Chicago,Palatine,Palatine High School,122806.448338
58,3270145,42.085471,-88.017669,194900,2014,1,3,1954,1950,2012,1365,10798,Chicago,Rolling Meadows,Rolling Meadows High School,184481.53179
59,3270410,42.086913,-88.024152,185900,2013,1,3,1955,1950,NONE,1113,10018,Chicago,Rolling Meadows,Rolling Meadows High School,181817.912276
60,3270555,42.08348,-88.008698,229900,2013,2,3,1955,1950,NONE,1650,6298.5,Chicago,Rolling Meadows,Rolling Meadows High School,221090.076019
61,3258536,42.115867,-88.005879,299000,2014,3,3,1959,1950,NONE,2142.5,8424,Chicago,Palatine,Palatine High School,295630.952276
62,3259898,42.114216,-88.032114,289900,2014,2,3,1955,1950,NONE,1649,11761,Chicago,Palatine,Palatine High School,281213.144751
63,3277882,42.078434,-88.014313,209000,2012,1,3,1955,1950,NONE,1437,10998,Chicago,Rolling Meadows,Rolling Meadows High School,199573.949094
64,3280755,42.148735,-87.944633,149700,2012,2,3,1980,1980,NONE,2177.5,6148,Chicago,Wheeling,Buffalo Grove High School,152785.640943
65,3280978,42.151463,-87.935491,350000,2014,3,4,1993,1990,NONE,2632,11325,Chicago,Wheeling,Buffalo Grove High School,336703.63174
66,3252433,42.13499,-88.068929,162500,2014,1,2,1985,1980,2010,1155,1179,Chicago,Palatine,Palatine High School,159145.623213
67,3253459,42.138571,-88.051619,279900,2014,4,3,1994,1990,NONE,1676,7448,Chicago,Palatine,Palatine High School,266831.581766
68,3254004,42.135355,-88.037056,289000,2012,3,4,1971,1970,NONE,1318,10040,Chicago,Palatine,Palatine High School,279888.921324
69,3259885,42.11589,-88.032709,219900,2013,2,3,1975,1970,NONE,2000,9583,Chicago,Palatine,Palatine High School,210204.055038
70,3254592,42.135305,-88.027443,529000,2013,2,5,1999,1990,NONE,3055,9147,Chicago,Palatine,Palatine High School,512078.77478
71,3255245,42.127636,-88.027305,419000,2014,4,5,1965,1960,NONE,2844,10540,Chicago,Palatine,Palatine High School,402250.123979
72,3265487,42.107633,-88.073288,699000,2014,3,5,2005,2000,NONE,4005.61455,13795,Chicago,Palatine,Wm Fremd High School,662040.357921
73,3265957,42.10049,-88.076631,559900,2014,3,5,1977,1970,NONE,3033,15246,Chicago,Palatine,Wm Fremd High School,551485.841373
74,3267489,42.103818,-88.053059,339900,2014,2,3,1972,1970,2007,1750,8568,Chicago,Palatine,Wm Fremd High School,325568.679902
75,3270143,42.085774,-88.017515,195000,2013,2,2,1955,1950,NONE,1281,6316,Chicago,Rolling Meadows,Rolling Meadows High School,181760.698831
76,3265490,42.107121,-88.073979,499000,2014,3,5,1973,1970,NONE,3424.61475,15097,Chicago,Palatine,Wm Fremd High School,489672.243166
77,3268859,42.108173,-88.017013,178000,2015,1.5,2,NA,UNKNOWN,NONE,1064,5185.5,Chicago,Palatine,Palatine High School,175323.326997
78,3269227,42.105637,-88.023476,116900,2014,2,3,1969,1960,NONE,1600,6511.5,Chicago,Palatine,Palatine High School,115646.290561
79,3272270,42.090965,-88.056,315000,2014,4,3,1989,1980,NONE,3244,10577.5,Chicago,Palatine,Wm Fremd High School,311598.698889
80,3272278,42.090965,-88.055999,175000,2013,2,2,1989,1980,NONE,1440,6266,Chicago,Palatine,Wm Fremd High School,168107.920159
81,3272521,42.090965,-88.055999,175000,2013,2.5,2,1991,1990,NONE,1643.5,5799.5,Chicago,Palatine,Wm Fremd High School,174889.726778
82,3285470,42.142892,-87.981958,370000,2014,3,4,1969,1960,NONE,2336,7187,Chicago,Buffalo Grove,Buffalo Grove High School,354763.333871
83,3257548,42.123916,-88.01308,290000,2014,2.5,4,1966,1960,NONE,1864,7309.5,Chicago,Palatine,Palatine High School,280236.183937
84,3260634,42.112092,-88.056709,385000,2014,3,3,1995,1990,NONE,2056,8951.5,Chicago,Palatine,Wm Fremd High School,371378.401821
85,3261383,42.114933,-88.075417,474900,2014,4,3,1985,1980,NONE,2766,9373.5,Chicago,Inverness,Wm Fremd High School,460206.934872
86,3261620,42.11615,-88.069679,649000,2013,3.5,5,1997,1990,2009,4005.61455,11325,Chicago,Palatine,Wm Fremd High School,628665.031794
87,3274881,42.092467,-88.117955,529900,2014,2.5,4,1978,1970,NONE,3500,15472.04295,Chicago,Hoffman Estates,Wm Fremd High School,505177.068937
88,3273176,42.08272,-88.04773,254900,2013,4,4,1980,1980,NONE,1880,7840.5,Chicago,Rolling Meadows,Wm Fremd High School,249398.937441
89,3264847,42.102277,-88.108179,349800,2013,3,3,1978,1970,NONE,1343,13068,Chicago,Hoffman Estates,Wm Fremd High School,334928.19214
90,3265436,42.106649,-88.079402,747230.4,2014,4,5,1980,1980,NONE,4000,15472.04295,Chicago,Inverness,Wm Fremd High School,678964.699111
91,3273127,42.082054,-88.046501,229900,2014,2.5,3,1978,1970,NONE,1849,2492,Chicago,Rolling Meadows,Wm Fremd High School,221075.147589
92,3274894,42.093913,-88.118588,385000,2012,2.5,4,1980,1980,NONE,2634,8319,Chicago,Hoffman Estates,Wm Fremd High School,367583.682786
93,3299435,42.113002,-87.95256,205000,2014,2,2,1987,1980,NONE,1376,7405,Chicago,Arlington Heights,Wheeling High School,194817.50487
94,3299720,42.118759,-87.982633,424900,2014,2.5,4,1972,1970,NONE,1950,8712,Chicago,Arlington Heights,Buffalo Grove High School,410647.185444
95,3285586,42.14597,-87.980508,359900,2014,2.5,4,1967,1960,NONE,2311,9302,Chicago,Buffalo Grove,Buffalo Grove High School,349634.223188
96,3286289,42.14286,-87.9679,285000,2013,2,3,1970,1970,NONE,1440,7492,Chicago,Buffalo Grove,Buffalo Grove High School,276356.048185
97,3286496,42.151388,-88.00387,149000,2014,2,2,1988,1980,NONE,1433.5,7622.5,Chicago,Arlington Heights,Buffalo Grove High School,143252.998925
98,3290157,42.136589,-87.972473,138900,2009,2,2,1975,1970,NONE,1208,7622.5,Chicago,Arlington Heights,Buffalo Grove High School,136585.285948
99,3268053,42.105875,-88.042857,245000,2014,1,2,1926,1920,NONE,1300,8219,Chicago,Palatine,Wm Fremd High School,237190.856797
100,3269734,42.1064,-88.005219,239000,2014,2,3,NA,UNKNOWN,NONE,1675.5,7054,Chicago,Palatine,Palatine High School,234739.279958
101,3285207,42.146097,-87.974283,259999,2010,2,3,1964,1960,NONE,1576,8712,Chicago,Buffalo Grove,Buffalo Grove High School,251047.732978
102,3289601,42.136413,-87.968147,174900,2014,2,3,1986,1980,NONE,1200,7187,Chicago,Buffalo Grove,Buffalo Grove High School,170844.174224
103,3304585,42.098828,-87.971164,275000,2014,2,3,1954,1950,2007,1047,5052.5,Chicago,Arlington Heights,John Hersey High School,264320.166041
104,3305735,42.105972,-87.955836,597500,2014,3,4,1986,1980,2014,2700,7279,Chicago,Arlington Heights,John Hersey High School,573317.738544
105,3307589,42.100795,-87.921858,5.00E+05,2013,3,4,1987,1980,NONE,2386,15472.04295,Chicago,Prospect Heights,Wheeling High School,479602.989393
106,3310215,42.100992,-87.895287,359000,2014,3,4,1968,1960,NONE,2294,8929.5,Chicago,Mount Prospect,Wheeling High School,343844.285566
107,3303454,42.098545,-87.989316,265000,2014,1,3,1957,1950,NONE,1128,7919,Chicago,Arlington Heights,John Hersey High School,258467.535118
108,3297242,42.112728,-87.931007,77900,2014,2,2,1978,1970,NONE,1200,6098,Chicago,Wheeling,Wheeling High School,68022.08155
109,3284029,42.142398,-87.964946,324900,2014,3,4,1967,1960,NONE,1675,5118,Chicago,Buffalo Grove,Buffalo Grove High School,310928.017474
110,3311000,42.092827,-87.896281,288900,2013,2.5,4,1962,1960,NONE,2600,11107.5,Chicago,Mount Prospect,John Hersey High School,276764.127187
111,3311260,42.086898,-87.904694,329900,2013,2.5,4,1972,1970,NONE,0,10512,Chicago,Mount Prospect,John Hersey High School,320991.097136
112,3289682,42.135474,-87.974643,269500,2013,2.5,3,1971,1970,NONE,1676,8642,Chicago,Buffalo Grove,Buffalo Grove High School,258206.693283
113,3291585,42.136604,-87.955337,115000,2014,2,2,1971,1970,NONE,1150,5428.5,Chicago,Buffalo Grove,Wheeling High School,107508.215256
114,3292933,42.127801,-87.954264,139750,2013,2,3,1974,1970,NONE,1408,1306,Chicago,Wheeling,Wheeling High School,134838.836443
115,3320352,42.078711,-87.996682,3.00E+05,2015,2,2,1959,1950,NONE,1100,5880,Chicago,Arlington Heights,Rolling Meadows High School,294339.148602
116,3320604,42.074524,-87.99903,449900,2014,2,3,1969,1960,NONE,2244,10735,Chicago,Arlington Heights,Rolling Meadows High School,434594.608596
117,3297421,42.111172,-87.929596,99900,2014,2,2,1975,1970,NONE,1517,6388,Chicago,Wheeling,Wheeling High School,95303.3608331
118,3300694,42.114257,-87.973411,379000,2014,2,3,1967,1960,NONE,1779,9675,Chicago,Arlington Heights,Buffalo Grove High School,360189.912506
119,3301730,42.117056,-87.995928,299900,2013,2,3,1967,1960,NONE,1150,8750,Chicago,Arlington Heights,Buffalo Grove High School,284263.149202
120,3302132,42.112447,-87.989207,524900,2013,3.5,4,1987,1980,2009,2700,10875,Chicago,Arlington Heights,Buffalo Grove High School,502591.725231
121,3272078,42.095543,-88.05692,524800,2013,2.5,4,1980,1980,NONE,2998,15472.04295,Chicago,Palatine,Wm Fremd High School,497851.257166
122,3274745,42.091448,-88.114357,489900,2014,3,4,1978,1970,NONE,2826,13068,Chicago,Hoffman Estates,Wm Fremd High School,468993.274456
123,3312167,42.093683,-87.9176,159900,2014,2,2,1985,1980,NONE,1307,4464.5,Chicago,Prospect Heights,John Hersey High School,156169.023899
124,3316758,42.091048,-87.984971,350000,2014,2,4,1916,1910,NONE,2303,6250,Chicago,Arlington Heights,John Hersey High School,345282.996306
125,3305139,42.108062,-87.962821,334900,2014,2.5,3,1983,1980,NONE,2150,9400.5,Chicago,Arlington Heights,John Hersey High School,319222.21841
126,3275896,42.076683,-88.057365,99900,2014,2,2,1983,1980,NONE,1100,4878,Chicago,Schaumburg,Wm Fremd High School,97700.1178434
127,3277382,42.080615,-88.023688,229900,2013,2,3,1956,1950,NONE,1774.5,6299,Chicago,Rolling Meadows,Rolling Meadows High School,221391.621163
128,3279976,42.140548,-87.911102,89500,2014,1,2,1968,1960,NONE,1040,5967.5,Chicago,Wheeling,Wheeling High School,85787.9544272
129,3308596,42.105995,-87.901962,75000,2013,1,2,NA,UNKNOWN,NONE,1059,6773.5,Chicago,Prospect Heights,Wheeling High School,59318.4144522
130,3309253,42.103202,-87.890296,58000,2014,1,1,1970,1970,NONE,900,7622.5,Chicago,Prospect Heights,Wheeling High School,61540.93216
131,3311467,42.08486,-87.905801,409000,2013,2.5,4,1988,1980,NONE,2704,10572,Chicago,Mount Prospect,John Hersey High School,394389.781645
132,3321958,42.080414,-87.983498,156900,2014,2,2,1966,1960,NONE,1400,7187,Chicago,Arlington Heights,Rolling Meadows High School,150006.286981
133,3303996,42.109072,-87.983822,399900,2014,3,4,1972,1970,NONE,2124,8803,Chicago,Arlington Heights,John Hersey High School,381461.988996
134,3306630,42.108052,-87.938714,349900,2014,2,3,NA,UNKNOWN,NONE,1568,7095.5,Chicago,Prospect Heights,John Hersey High School,335950.538469
135,3313778,42.08839,-87.940689,240000,2014,3,3,1976,1970,NONE,1900,7557.5,Chicago,Mount Prospect,John Hersey High School,238274.49687
136,3307050,42.096723,-87.94568,338500,2010,2,3,1937,1930,2009,1643.5,9517,Chicago,Prospect Heights,John Hersey High School,329860.473126
137,3311950,42.091468,-87.920672,270000,2014,2,3,1984,1980,NONE,1433,6359.5,Chicago,Prospect Heights,John Hersey High School,260494.791609
138,3316484,42.094971,-87.981324,282000,2014,1,3,1955,1950,NONE,1253,7405,Chicago,Arlington Heights,John Hersey High School,274071.429734
139,3318827,42.092044,-87.993476,179900,2011,5,4,2015,2010,NONE,3000,6599,Chicago,Arlington Heights,John Hersey High School,189730.128822
140,3320080,42.081207,-87.989866,499900,2014,2.5,4,1948,1940,NONE,2342,6294,Chicago,Arlington Heights,Rolling Meadows High School,489921.615481
141,3320520,42.076007,-88.003243,299900,2012,3,4,1963,1960,NONE,2000,8764,Chicago,Arlington Heights,Rolling Meadows High School,289602.918601
142,3323085,42.074974,-87.967514,115000,2014,2,2,NA,UNKNOWN,NONE,1484.5,6969,Chicago,Arlington Heights,Prospect High School,107236.557142
143,3324198,42.076698,-87.961537,519000,2014,3,3,1957,1950,NONE,2189,8000,Chicago,Arlington Heights,Prospect High School,496918.607428
144,3325202,42.068351,-87.950576,164900,2013,1,2,1994,1990,NONE,1000,5662.5,Chicago,Mount Prospect,Prospect High School,157568.241614
145,3320023,42.083129,-87.988588,299900,2014,2,4,1953,1950,NONE,1500,13068,Chicago,Arlington Heights,Rolling Meadows High School,288849.489276
146,3321616,42.069468,-87.988283,329900,2014,1,3,1948,1940,2012,1186,6600,Chicago,Arlington Heights,Rolling Meadows High School,317249.115766
147,3322650,42.077142,-87.966637,149900,2013,2,3,1954,1950,NONE,1136,5861,Chicago,Arlington Heights,Prospect High School,145565.970639
148,3280924,42.14811,-87.935511,319900,2014,2,3,1993,1990,NONE,1597,7383,Chicago,Wheeling,Buffalo Grove High School,307335.688614
149,3286284,42.142012,-87.967912,275000,2014,2,4,1969,1960,NONE,1780.5,2831,Chicago,Buffalo Grove,Buffalo Grove High School,266773.322356
150,3295198,42.133052,-87.913669,179900,2014,2,3,1956,1950,NONE,1137,5580,Chicago,Wheeling,Wheeling High School,172378.661573
151,3300458,42.111729,-87.983864,380000,2014,3,3,1991,1990,NONE,2000,7502.5,Chicago,Arlington Heights,Buffalo Grove High School,368493.605001
152,3329076,42.151714,-87.807663,415000,2014,2,2,1979,1970,NONE,2500,8058,Chicago,Northbrook,NONE,400610.794501
153,3331282,42.140752,-87.876438,529900,2013,2.5,4,1969,1960,NONE,3018,15472.04295,Chicago,Northbrook,NONE,519294.669684
154,3332070,42.126275,-87.88377,675000,2015,2,5,1980,1980,NONE,3295,9147,Chicago,Northbrook,NONE,652376.34
155,3302755,42.105512,-87.993386,679000,2012,2,4,2005,2000,NONE,3713,10626.5,Chicago,Arlington Heights,John Hersey High School,645930.744
156,3303435,42.100185,-87.985671,267500,2013,2,3,1959,1950,NONE,1380,10890,Chicago,Arlington Heights,John Hersey High School,259195.203232
157,3303915,42.106228,-87.976634,425000,2014,3,4,1967,1960,NONE,2179,7818.5,Chicago,Arlington Heights,John Hersey High School,415208.728729
158,3332738,42.135688,-87.854782,139000,2014,2,2,1978,1970,NONE,1390,6849.5,Chicago,Northbrook,NONE,131046.350845
159,3333495,42.129032,-87.861763,489900,2014,2.5,3,1977,1970,NONE,2200,8711.5,Chicago,Northbrook,NONE,478510.907811
160,3337155,42.126665,-87.818818,538000,2014,2,3,1963,1960,NONE,1866,10236.5,Chicago,Northbrook,NONE,502929.077975
161,3317509,42.085152,-87.983749,249900,2014,2,2,1996,1990,NONE,1350,6599,Chicago,Arlington Heights,John Hersey High School,237194.303927
162,3317812,42.087236,-87.974767,369900,2014,2,3,1957,1950,2009,1200,5357.5,Chicago,Arlington Heights,Prospect High School,345618.201935
163,3322321,42.076037,-87.976562,469000,2014,1.5,3,1938,1930,NONE,1889,5424,Chicago,Arlington Heights,Prospect High School,447824.53295
164,3322473,42.07457,-87.978477,495000,2014,3,4,1930,1930,NONE,1758,7883.5,Chicago,Arlington Heights,Prospect High School,470549.981974
165,3324563,42.07855,-87.955886,249900,2013,1.5,2,1958,1950,NONE,1264,8712,Chicago,Arlington Heights,Prospect High School,239337.499642
166,3327532,42.067833,-87.926742,285900,2014,2,3,1957,1950,NONE,1260,6751.5,Chicago,Mount Prospect,Prospect High School,277279.071132
167,3327817,42.066377,-87.909542,280000,2014,3,3,1966,1960,NONE,1637,8389,Chicago,Mount Prospect,John Hersey High School,263603.028445
168,3328935,42.14333,-87.770422,519000,2008,2,3,1953,1950,NONE,1900,10454,Chicago,Glencoe,New Trier Township H S Winnetka,483386.96131
169,3305373,42.107501,-87.956865,349900,2014,2.5,3,1968,1960,NONE,2070,8750,Chicago,Arlington Heights,John Hersey High School,336377.3746
170,3331742,42.131546,-87.877281,747230.4,2014,5.5,5,1998,1990,NONE,4005.61455,15472.04295,Chicago,Northbrook,NONE,680515.263093
171,3334767,42.137187,-87.834612,747230.4,2013,4,5,1960,1960,NONE,1,15472.04295,Chicago,Northbrook,NONE,653580.72
172,3339226,42.117549,-87.831527,279400,2013,2,2,NA,UNKNOWN,NONE,1450,6751.5,Chicago,Northbrook,NONE,266042.610031
173,3340386,42.119134,-87.85393,549000,2013,3,4,1965,1960,NONE,2496,10890,Chicago,Northbrook,NONE,516546.680721
174,3340555,42.121353,-87.857082,499500,2013,2,4,1970,1970,NONE,2473,11787.5,Chicago,Northbrook,NONE,478615.046012
175,3342847,42.098697,-87.865755,747230.4,2013,3.5,5,1984,1980,NONE,3540,15472.04295,Chicago,Glenview,NONE,680515.263093
176,3348794,42.093154,-87.84516,525000,2014,3.5,3,1996,1990,NONE,2711,9082,Chicago,Glenview,NONE,506665.883305
177,3352351,42.077335,-87.842188,559000,2013,2.5,4,1976,1970,NONE,2173,10360,Chicago,Glenview,NONE,530628.529154
178,3327465,42.071472,-87.918297,64900,2014,1,1,1969,1960,NONE,750,4530,Chicago,Mount Prospect,John Hersey High School,57450.1591391
179,3327548,42.067824,-87.925316,204900,2013,1.5,3,1962,1960,NONE,1360,7059,Chicago,Mount Prospect,Prospect High School,194494.087319
180,3310103,42.101578,-87.896705,379000,2014,3,5,1969,1960,NONE,2718,9295,Chicago,Mount Prospect,Wheeling High School,361604.490073
181,3338707,42.12001,-87.815891,747230.4,2015,3.5,5,1994,1990,NONE,3600,13960.5,Chicago,Northbrook,NONE,678969.685555
182,3317649,42.083454,-87.979637,129900,2014,1,1,1986,1980,NONE,1000,6350,Chicago,Arlington Heights,Prospect High School,122618.170873
183,3344226,42.103828,-87.832107,499900,2014,2.5,3,1990,1990,NONE,2052.5,8123.5,Chicago,Glenview,NONE,495138.092854
184,3345336,42.098953,-87.793287,747230.4,2013,2,4,1984,1980,NONE,3285,15083.97844,Chicago,Northfield,New Trier Township H S Winnetka,680513.4
185,3345615,42.105847,-87.775817,747230.4,2014,4.5,4,2005,2000,NONE,3912,12656,Chicago,Northfield,New Trier Township H S Winnetka,680511.730217
186,3345980,42.101196,-87.780177,209000,2013,1,2,NA,UNKNOWN,NONE,1550,8704,Chicago,Northfield,New Trier Township H S Winnetka,196709.244471
187,3353687,42.073593,-87.829563,679000,2014,2,4,1964,1960,NONE,2162,7600.5,Chicago,Glenview,NONE,649571.548876
188,3354785,42.076504,-87.805199,209000,2014,2,2,1996,1990,NONE,1133,5428.5,Chicago,Glenview,NONE,201852.764689
189,3356457,42.079638,-87.788654,480000,2014,2,3,1961,1960,NONE,1560,9215,Chicago,Glenview,NONE,464581.964939
190,3329650,42.150852,-87.80986,359900,2014,3,3,1982,1980,NONE,2179,10245.5,Chicago,Northbrook,NONE,346201.498324
191,3345347,42.101088,-87.791065,747230.4,2013,4,4,1958,1950,NONE,4005.61455,15357.95688,Chicago,Northfield,New Trier Township H S Winnetka,680511.730217
192,3335742,42.137853,-87.819838,309000,2014,2,4,1956,1950,NONE,1589,8160,Chicago,Northbrook,NONE,308928.040444
193,3336779,42.126682,-87.822077,529000,2014,2,4,1954,1950,NONE,2234,11292.5,Chicago,Northbrook,NONE,508289.709817
